ticker,cik
AAPL,0000320193
AMD,0000002488
AMZN,0001018724
GOOGL,0001652044
JPM,0000019617
META,0001326801
MSFT,0000789019
NVDA,0001045810
TSLA,0001318605
UNH,0000731766
INTC,0000050863
QCOM,0000804328
TSM,0001046179
MU,0000723125
LRCX,0000707549
ASML,0000937966
DELL,0001571996
HPQ,0000047217
CRM,0001108524
ADBE,0000796343
NOW,0001373715
ORCL,0001341439
PINS,0001506293
RDDT,0001713445
SNAP,0001564408
WMT,0000104169
TGT,0000027419
COST,0000909832
DASH,0001792789
F,0000037996
LCID,0001811210
GM,0001467858
RIVN,0001874178
C,0000831001
GS,0000886982
BAC,0000070858
MS,0000895421
CNC,0001071739
HUM,0000049071
CI,0001739942
